Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
74.5,3953460613,206,19191556.4,19641654.0,3106,22973730,3205760.2,cudaDeviceSynchronize
11.9,632563007,27504,22998.9,6933.0,3697,83458148,827341.2,cudaLaunchKernel
9.8,522681074,396,1319901.7,154296.5,5410,21300747,2583820.8,cudaStreamSynchronize
2.9,151622612,396,382885.4,9788.5,4068,41387598,2638003.4,cudaMemcpyAsync
0.5,24149704,4,6037426.0,5929642.5,1940439,10349980,4595704.9,cudaFree
0.2,11001403,62,177442.0,160037.0,3957,713860,92108.9,cudaMalloc
0.1,5644834,2,2822417.0,2822417.0,1519093,4125741,1843178.5,cudaGetDeviceProperties_v2_v12000
0.1,4024340,2,2012170.0,2012170.0,1956049,2068291,79367.1,cudaHostAlloc
0.0,2220079,400,5550.2,5380.0,3095,69311,3997.6,cudaEventRecord
0.0,1401755,1382,1014.3,942.0,391,22743,780.8,cudaStreamIsCapturing_v10000
0.0,391238,1532,255.4,200.0,70,7454,308.6,cuGetProcAddress_v2
0.0,64189,40,1604.7,305.5,260,11522,2679.6,cudaEventCreateWithFlags
0.0,21882,4,5470.5,3607.0,822,13846,5811.2,cudaEventDestroy
0.0,6313,4,1578.3,1588.0,872,2265,786.9,cuInit
0.0,3807,6,634.5,205.5,110,2064,792.2,cuModuleGetLoadingMode
